form	lemma	POS	morph
༄༅། །		PUNCT
ཚད་མ་	ཚད་མ་	NOUN
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
སྡེ་	སྡེ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
དོན་	དོན་	NOUN
གཏན་	གཏན་	NOUN
ལ་	ལ་	PART
ཕབ་པ་	ཕབ་པ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ཀྱི་	གི་	PART
དགོངས་	དགོངས་	VERB
རྒྱན་	རྒྱན་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
པདྨ་	པདྨ་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
"།
༄༅། །"		PUNCT
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
ཕན་	ཕན་	NOUN
བཞེད་	བཞེད་	VERB
སྟོན་པ་	སྟོན་པ་	NOUN
འི་	གི་	PART
ཆུ་	ཆུ་	NOUN
ཀླུང་མ་	ཀླུང་མ་	NO_POS
ལུས་པ་	ལུས་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
ཚད་མ་	ཚད་མ་	NOUN
ར་	ལ་	PART
བསྐྲུན་པ་	བསྐྲུན་པ་	VERB
འི་	གི་	PART
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
གངས་ཅན་	གངས་ཅན་	ADJ
མཚོ་	མཚོ་	NOUN
། །		PUNCT
གདུང་བ་	གདུང་བ་	VERB
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
སྐྱོབ་པ་	སྐྱོབ་པ་	VERB
འི་	གི་	PART
